task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
glouton,2025-11-03T17:22:38,codecarbon,14a39851-f9fc-41d7-b133-ec6ca8a81cf6,0.04918039997573942,3.225772165014549e-09,6.72297783949884e-08,60.0,0.0,10.0,7.346300000790506e-07,0.0,8.464388892106298e-08,8.192738890001136e-07,0.0,Canada,CAN,quebec,,,Windows-11-10.0.26100-SP0,3.13.1,3.0.8,8,Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,,,-73.6305,45.4605,11.810325622558594,process,N
dynamic,2025-11-03T17:22:38,codecarbon,14a39851-f9fc-41d7-b133-ec6ca8a81cf6,0.037565300008282065,2.4315945297433767e-09,6.530452857534365e-08,60.0,0.0,10.0,5.592733330558984e-07,0.0,5.829722213093191e-08,6.175705551868304e-07,0.0,Canada,CAN,quebec,,,Windows-11-10.0.26100-SP0,3.13.1,3.0.8,8,Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,,,-73.6305,45.4605,11.810325622558594,process,N
recherche,2025-11-03T17:23:35,codecarbon,14a39851-f9fc-41d7-b133-ec6ca8a81cf6,57.17792940000072,4.377199486367343e-06,7.655539037212647e-08,60.0,0.0,10.0,0.0009529168966662837,0.0,0.0001587937458332615,0.0011117106424995452,0.0,Canada,CAN,quebec,,,Windows-11-10.0.26100-SP0,3.13.1,3.0.8,8,Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz,,,-73.6305,45.4605,11.810325622558594,process,N
